NBAM.bed.name,nbam.id,nbam.name
DO23543_SP50166_NBAM.bed,f08dd144-fae5-582c-a85e-f3def02bbaff,019fc1e0c930bc0579f07532b8245c9f.bam
DO36221_SP106838_NBAM.bed,15963efe-cdb9-51b8-a0f6-42f361dc80cc,f6a729dfc9df90889d1f04696e28ee21.bam
DO36223_SP106842_NBAM.bed,e3133438-ae79-559b-bf3a-4b53575c5e85,e5c144a54080825b7fb49515653950af.bam
DO45096_SP98905_NBAM.bed,cd88cd36-c120-51cb-b12b-669dbb92979e,edf4f81d411743d5ef7e701a68cc1208.bam
DO45141_SP98999_NBAM.bed,50c93429-a57a-5126-bdb8-7c3b56c1e2de,33e99f198218c1f9c3628ae5191fd42b.bam
DO45151_SP99023_NBAM.bed,d4c2408b-bae7-522b-a207-7172ed84237c,5143f6c4edf5d4d322ea10526ef45bae.bam
DO45273_SP99267_NBAM.bed,3f57dc06-5572-55cf-9afb-a5bad2b902d7,ab7f199de8355098bdf06a82ca4d1f9e.bam
DO45281_SP99285_NBAM.bed,adaf5909-0f1b-5b76-8e84-36f1a28e9d1d,9d9464cf9e4d3d93f7670d79d1fe9d5c.bam
DO48577_SP106830_NBAM.bed,54cf8eff-9a8a-5eef-973e-f4e0722766e5,f5bb47dc0710fd7be97e9efc005dfc06.bam
DO49442_SP108750_NBAM.bed,d261e5a2-17d3-5206-9b0a-88e4e7e8d1e6,eb1a7f49ef8f814576ca36eecc5aa9fc.bam
DO49454_SP108777_NBAM.bed,ed46789a-a504-5267-ad27-db108b266b3a,4f066551fc66f66883c7054061b4a9f1.bam
DO50793_SP112166_NBAM.bed,a46b8e03-729e-556e-935c-e4aa5e6ac1e1,eea494c4bddcba674160888dc7a1b874.bam
DO50814_SP112209_NBAM.bed,af6abf92-c6e8-5e09-bceb-21a1571a13eb,70d3c8d48b5e954e982ac6d0fbf3aba5.bam
DO50842_SP112267_NBAM.bed,6d26a424-6762-51fe-9116-1601d6ab26dd,1ffa530d1180d8c43d7ca7eab0f63d08.bam
DO50844_SP112272_NBAM.bed,80fefffc-676e-53fd-a97e-4b2209ab373b,2eeabcd3d0c6c48de3c3fd77e3a43e10.bam
DO51953_SP114899_NBAM.bed,4064c4ab-9ff0-59f6-880e-9694cab3fba9,cb1d2169322da017415c60a3541d750e.bam
DO51954_SP114905_NBAM.bed,616f341d-18b3-5811-8225-d619ab6eabd0,0c39e99eac7031e27d09f56b71c1a8c7.bam
