X1,X2,X3
CPCT02010486T.purple.somatic.vcf.gz,6,0
CPCT02010488T.purple.somatic.vcf.gz,78,1
CPCT02010490T.purple.somatic.vcf.gz,48,0
CPCT02010492T.purple.somatic.vcf.gz,9,0
CPCT02010493T.purple.somatic.vcf.gz,669,2
CPCT02010494T.purple.somatic.vcf.gz,19,0
CPCT02010497T.purple.somatic.vcf.gz,747,3
CPCT02010498T.purple.somatic.vcf.gz,1612,3
CPCT02010500T.purple.somatic.vcf.gz,82,1
CPCT02010501T.purple.somatic.vcf.gz,3372,40
CPCT02010503T.purple.somatic.vcf.gz,3671,82
CPCT02010503TII.purple.somatic.vcf.gz,3762,85
CPCT02010504T.purple.somatic.vcf.gz,30,0
CPCT02010505T.purple.somatic.vcf.gz,16,0
CPCT02010506T.purple.somatic.vcf.gz,142,0
CPCT02010507T.purple.somatic.vcf.gz,480,0
CPCT02010508T.purple.somatic.vcf.gz,10,0
CPCT02010509T.purple.somatic.vcf.gz,27,0
CPCT02010512T.purple.somatic.vcf.gz,672,0
CPCT02010514T.purple.somatic.vcf.gz,29,0
CPCT02010517T.purple.somatic.vcf.gz,27,0
CPCT02010518T.purple.somatic.vcf.gz,8,0
CPCT02010520T.purple.somatic.vcf.gz,102,1
CPCT02010521T.purple.somatic.vcf.gz,28,0
CPCT02010523T.purple.somatic.vcf.gz,40,0
CPCT02010524T.purple.somatic.vcf.gz,1456,3
CPCT02010526T.purple.somatic.vcf.gz,166,0
CPCT02010527T.purple.somatic.vcf.gz,163,1
CPCT02010528T.purple.somatic.vcf.gz,19,0
CPCT02010529T.purple.somatic.vcf.gz,212,1
CPCT02010530T.purple.somatic.vcf.gz,1189,1
CPCT02010531T.purple.somatic.vcf.gz,1106,2
CPCT02010532T.purple.somatic.vcf.gz,3260,7
CPCT02010533T.purple.somatic.vcf.gz,228,0
CPCT02010534T.purple.somatic.vcf.gz,5,0
CPCT02010535T.purple.somatic.vcf.gz,10,1
CPCT02010536T.purple.somatic.vcf.gz,1945,3
CPCT02010537T.purple.somatic.vcf.gz,54,0
CPCT02010538T.purple.somatic.vcf.gz,16,0
CPCT02010541T.purple.somatic.vcf.gz,87,1
CPCT02010543T.purple.somatic.vcf.gz,192,2
CPCT02010545T.purple.somatic.vcf.gz,983,2
CPCT02010547T.purple.somatic.vcf.gz,1,0
CPCT02010548T.purple.somatic.vcf.gz,12,0
CPCT02010549T.purple.somatic.vcf.gz,29,0
CPCT02010550T.purple.somatic.vcf.gz,2590,9
CPCT02010554T.purple.somatic.vcf.gz,19,0
CPCT02010555T.purple.somatic.vcf.gz,70,0
CPCT02010557T.purple.somatic.vcf.gz,380,1
CPCT02010559T.purple.somatic.vcf.gz,33,0
CPCT02010560T.purple.somatic.vcf.gz,15,0
CPCT02010565T.purple.somatic.vcf.gz,1268,3
CPCT02010567T.purple.somatic.vcf.gz,21,0
CPCT02010567TII.purple.somatic.vcf.gz,32,0
CPCT02010569T.purple.somatic.vcf.gz,108,3
CPCT02010571T.purple.somatic.vcf.gz,13,0
CPCT02010572T.purple.somatic.vcf.gz,5,0
CPCT02010574T.purple.somatic.vcf.gz,13,0
CPCT02010576T.purple.somatic.vcf.gz,18,1
CPCT02010577T.purple.somatic.vcf.gz,8,1
CPCT02010579T.purple.somatic.vcf.gz,51,3
CPCT02010585T.purple.somatic.vcf.gz,76,1
CPCT02010587T.purple.somatic.vcf.gz,289,0
CPCT02010589T.purple.somatic.vcf.gz,10,0
CPCT02010590T.purple.somatic.vcf.gz,273,2
CPCT02010591T.purple.somatic.vcf.gz,60,0
CPCT02010593T.purple.somatic.vcf.gz,103,0
CPCT02010595T.purple.somatic.vcf.gz,22,0
CPCT02010596T.purple.somatic.vcf.gz,16,1
CPCT02010598T.purple.somatic.vcf.gz,44,1
CPCT02010599T.purple.somatic.vcf.gz,18,0
CPCT02010600T.purple.somatic.vcf.gz,14,2
CPCT02010603T.purple.somatic.vcf.gz,536,2
CPCT02010604T.purple.somatic.vcf.gz,57,2
CPCT02010605T.purple.somatic.vcf.gz,49,3
CPCT02010606T.purple.somatic.vcf.gz,1256,1
CPCT02010607T.purple.somatic.vcf.gz,165,0
CPCT02010608T.purple.somatic.vcf.gz,22,1
CPCT02010609T.purple.somatic.vcf.gz,3511,0
CPCT02010611T.purple.somatic.vcf.gz,13,1
CPCT02010612T.purple.somatic.vcf.gz,1713,4
CPCT02010613T.purple.somatic.vcf.gz,17,1
CPCT02010614T.purple.somatic.vcf.gz,91,2
CPCT02010618T.purple.somatic.vcf.gz,504,2
CPCT02010621T.purple.somatic.vcf.gz,243,0
CPCT02010622T.purple.somatic.vcf.gz,1525,5
CPCT02010623T.purple.somatic.vcf.gz,208,2
CPCT02010624T.purple.somatic.vcf.gz,143,1
CPCT02010625T.purple.somatic.vcf.gz,17,0
CPCT02010628T.purple.somatic.vcf.gz,92,1
CPCT02010629T.purple.somatic.vcf.gz,38,3
CPCT02010632T.purple.somatic.vcf.gz,9,0
CPCT02010633T.purple.somatic.vcf.gz,34,1
CPCT02010635T.purple.somatic.vcf.gz,28,0
CPCT02010639T.purple.somatic.vcf.gz,119,2
CPCT02010641TII.purple.somatic.vcf.gz,26,0
CPCT02010643T.purple.somatic.vcf.gz,25,1
CPCT02010645T.purple.somatic.vcf.gz,12,0
CPCT02010646T.purple.somatic.vcf.gz,84,0
CPCT02010647T.purple.somatic.vcf.gz,15,0
CPCT02010648T.purple.somatic.vcf.gz,37,0
CPCT02010649T.purple.somatic.vcf.gz,21,1
CPCT02010653T.purple.somatic.vcf.gz,22,1
CPCT02010654T.purple.somatic.vcf.gz,159,48
CPCT02010655T.purple.somatic.vcf.gz,39,0
CPCT02010656T.purple.somatic.vcf.gz,4,0
CPCT02010658T.purple.somatic.vcf.gz,115,0
CPCT02010660T.purple.somatic.vcf.gz,795,4
CPCT02010661T.purple.somatic.vcf.gz,26,0
CPCT02010662T.purple.somatic.vcf.gz,373,33
CPCT02010663T.purple.somatic.vcf.gz,167,2
CPCT02010665T.purple.somatic.vcf.gz,200,0
CPCT02010666T.purple.somatic.vcf.gz,62,1
CPCT02010667T.purple.somatic.vcf.gz,1117,6
CPCT02010670T.purple.somatic.vcf.gz,1474,2
CPCT02010674T.purple.somatic.vcf.gz,51,0
CPCT02010676T.purple.somatic.vcf.gz,1310,0
CPCT02010678T.purple.somatic.vcf.gz,32,1
CPCT02010679T.purple.somatic.vcf.gz,35,1
CPCT02010680T.purple.somatic.vcf.gz,5,0
CPCT02010682T.purple.somatic.vcf.gz,61,0
CPCT02010683T.purple.somatic.vcf.gz,1689,7
CPCT02010687T.purple.somatic.vcf.gz,46,0
CPCT02010688T.purple.somatic.vcf.gz,15,1
CPCT02010690T.purple.somatic.vcf.gz,153,0
CPCT02010691T.purple.somatic.vcf.gz,47,1
CPCT02010692T.purple.somatic.vcf.gz,25,0
CPCT02010692TII.purple.somatic.vcf.gz,33,0
CPCT02010694T.purple.somatic.vcf.gz,49,0
CPCT02010695T.purple.somatic.vcf.gz,17,2
CPCT02010697T.purple.somatic.vcf.gz,18,2
CPCT02010698T.purple.somatic.vcf.gz,33,0
CPCT02010699T.purple.somatic.vcf.gz,1498,5
CPCT02010700T.purple.somatic.vcf.gz,39,0
CPCT02010702T.purple.somatic.vcf.gz,539,1
CPCT02010704T.purple.somatic.vcf.gz,21,2
CPCT02010705T.purple.somatic.vcf.gz,7,1
CPCT02010706T.purple.somatic.vcf.gz,1576,4
CPCT02010708T.purple.somatic.vcf.gz,87,0
CPCT02010710T.purple.somatic.vcf.gz,28,0
CPCT02010711T.purple.somatic.vcf.gz,44,0
CPCT02010712T.purple.somatic.vcf.gz,69,1
CPCT02010715T.purple.somatic.vcf.gz,19,0
CPCT02010716T.purple.somatic.vcf.gz,3310,28
CPCT02010718T.purple.somatic.vcf.gz,16,0
CPCT02010720T.purple.somatic.vcf.gz,7,0
CPCT02010721T.purple.somatic.vcf.gz,4,0
CPCT02010722T.purple.somatic.vcf.gz,989,4
CPCT02010722TII.purple.somatic.vcf.gz,950,1
CPCT02010726T.purple.somatic.vcf.gz,9,0
CPCT02010727T.purple.somatic.vcf.gz,1520,2
CPCT02010728T.purple.somatic.vcf.gz,105,0
CPCT02010730T.purple.somatic.vcf.gz,158,1
CPCT02010731T.purple.somatic.vcf.gz,248,2
CPCT02010732T.purple.somatic.vcf.gz,41,0
CPCT02010735T.purple.somatic.vcf.gz,53,1
CPCT02010738T.purple.somatic.vcf.gz,1116,2
CPCT02010739T.purple.somatic.vcf.gz,6,0
CPCT02010741T.purple.somatic.vcf.gz,234,0
CPCT02010742T.purple.somatic.vcf.gz,111,0
CPCT02010743T.purple.somatic.vcf.gz,317,0
CPCT02010746T.purple.somatic.vcf.gz,81,0
CPCT02010747T.purple.somatic.vcf.gz,30,0
CPCT02010750T.purple.somatic.vcf.gz,63,0
CPCT02010750TII.purple.somatic.vcf.gz,106,0
CPCT02010751T.purple.somatic.vcf.gz,32,0
CPCT02010752T.purple.somatic.vcf.gz,44,0
CPCT02010753T.purple.somatic.vcf.gz,244,1
CPCT02010754T.purple.somatic.vcf.gz,944,2
CPCT02010754TII.purple.somatic.vcf.gz,973,0
CPCT02010756T.purple.somatic.vcf.gz,13,0
CPCT02010757T.purple.somatic.vcf.gz,11,0
CPCT02010758T.purple.somatic.vcf.gz,35,0
CPCT02010760T.purple.somatic.vcf.gz,1482,3
CPCT02010762T.purple.somatic.vcf.gz,77,1
CPCT02010765T.purple.somatic.vcf.gz,89,1
CPCT02010768T.purple.somatic.vcf.gz,115,0
CPCT02010769T.purple.somatic.vcf.gz,143,0
CPCT02010772T.purple.somatic.vcf.gz,87,7
CPCT02010773T.purple.somatic.vcf.gz,77,0
CPCT02010774T.purple.somatic.vcf.gz,32,0
CPCT02010776T.purple.somatic.vcf.gz,28,0
CPCT02010776TII.purple.somatic.vcf.gz,50,0
CPCT02010779T.purple.somatic.vcf.gz,197,0
CPCT02010780T.purple.somatic.vcf.gz,2844,10
CPCT02010781T.purple.somatic.vcf.gz,1638,2
CPCT02010782T.purple.somatic.vcf.gz,1327,5
CPCT02010786T.purple.somatic.vcf.gz,303,51
CPCT02010790T.purple.somatic.vcf.gz,131,0
CPCT02010791T.purple.somatic.vcf.gz,31,0
CPCT02010794T.purple.somatic.vcf.gz,2739,18
CPCT02010797T.purple.somatic.vcf.gz,914,6
CPCT02010801T.purple.somatic.vcf.gz,27,0
CPCT02010802T.purple.somatic.vcf.gz,152,0
CPCT02010807T.purple.somatic.vcf.gz,613,0
CPCT02010810T.purple.somatic.vcf.gz,26,0
CPCT02010811T.purple.somatic.vcf.gz,512,0
CPCT02010813T.purple.somatic.vcf.gz,51,1
CPCT02010815T.purple.somatic.vcf.gz,142,4
CPCT02010824T.purple.somatic.vcf.gz,24,0
CPCT02010825T.purple.somatic.vcf.gz,5,0
CPCT02010828T.purple.somatic.vcf.gz,549,2
CPCT02010831T.purple.somatic.vcf.gz,1255,8
CPCT02010833T.purple.somatic.vcf.gz,119,1
CPCT02010835T.purple.somatic.vcf.gz,314,3
CPCT02010836T.purple.somatic.vcf.gz,314,1
CPCT02010838T.purple.somatic.vcf.gz,5,0
CPCT02010839T.purple.somatic.vcf.gz,47,0
CPCT02010840T.purple.somatic.vcf.gz,75,0
CPCT02010841T.purple.somatic.vcf.gz,181,3
CPCT02010842T.purple.somatic.vcf.gz,44,0
CPCT02010843T.purple.somatic.vcf.gz,11,1
CPCT02010846T.purple.somatic.vcf.gz,171,1
CPCT02010847T.purple.somatic.vcf.gz,3302,10
CPCT02010849T.purple.somatic.vcf.gz,53,1
CPCT02010851T.purple.somatic.vcf.gz,17,0
CPCT02010852T.purple.somatic.vcf.gz,1172,0
CPCT02010853T.purple.somatic.vcf.gz,152,0
CPCT02010856T.purple.somatic.vcf.gz,38,0
CPCT02010857T.purple.somatic.vcf.gz,47,0
CPCT02010858T.purple.somatic.vcf.gz,57,0
CPCT02010860T.purple.somatic.vcf.gz,26,0
CPCT02010863T.purple.somatic.vcf.gz,87,1
CPCT02010865T.purple.somatic.vcf.gz,142,0
CPCT02010866T.purple.somatic.vcf.gz,558,3
CPCT02010866TII.purple.somatic.vcf.gz,563,5
CPCT02010867T.purple.somatic.vcf.gz,7316,66
CPCT02010869T.purple.somatic.vcf.gz,52,1
CPCT02010870T.purple.somatic.vcf.gz,2012,2
CPCT02010872T.purple.somatic.vcf.gz,17,0
CPCT02010873T.purple.somatic.vcf.gz,22,0
CPCT02010874T.purple.somatic.vcf.gz,979,0
CPCT02010875T.purple.somatic.vcf.gz,80,0
CPCT02010877T.purple.somatic.vcf.gz,27,0
CPCT02010878T.purple.somatic.vcf.gz,67,0
CPCT02010878TII.purple.somatic.vcf.gz,71,1
CPCT02010880T.purple.somatic.vcf.gz,240,0
CPCT02010881T.purple.somatic.vcf.gz,144,3
CPCT02010882T.purple.somatic.vcf.gz,667,952
CPCT02010884T.purple.somatic.vcf.gz,175,0
CPCT02010885T.purple.somatic.vcf.gz,80,0
CPCT02010886T.purple.somatic.vcf.gz,81,1
CPCT02010889T.purple.somatic.vcf.gz,44,0
CPCT02010890T.purple.somatic.vcf.gz,26,0
CPCT02010891T.purple.somatic.vcf.gz,10,0
CPCT02010894T.purple.somatic.vcf.gz,291,0
CPCT02010894TII.purple.somatic.vcf.gz,222,0
CPCT02010895T.purple.somatic.vcf.gz,612,0
CPCT02010896T.purple.somatic.vcf.gz,123,1
CPCT02010897T.purple.somatic.vcf.gz,611,1
CPCT02010898T.purple.somatic.vcf.gz,42,0
CPCT02010900T.purple.somatic.vcf.gz,44,0
CPCT02010901T.purple.somatic.vcf.gz,157,0
CPCT02010902T.purple.somatic.vcf.gz,13,0
CPCT02010903T.purple.somatic.vcf.gz,35,0
CPCT02010904T.purple.somatic.vcf.gz,469,0
CPCT02010911T.purple.somatic.vcf.gz,3619,22
CPCT02010913T.purple.somatic.vcf.gz,1030,2
CPCT02010914T.purple.somatic.vcf.gz,6,0
CPCT02010915T.purple.somatic.vcf.gz,54,1
CPCT02010918T.purple.somatic.vcf.gz,1440,7
CPCT02010919T.purple.somatic.vcf.gz,4,0
CPCT02010920T.purple.somatic.vcf.gz,45,0
CPCT02010924T.purple.somatic.vcf.gz,685,1
CPCT02010925T.purple.somatic.vcf.gz,1383,3
CPCT02010926T.purple.somatic.vcf.gz,103,0
CPCT02010927T.purple.somatic.vcf.gz,318,1
CPCT02010931T.purple.somatic.vcf.gz,270,0
CPCT02010933T.purple.somatic.vcf.gz,65,0
CPCT02010934T.purple.somatic.vcf.gz,42,0
CPCT02010935T.purple.somatic.vcf.gz,154,0
CPCT02010936T.purple.somatic.vcf.gz,29,0
CPCT02010938T.purple.somatic.vcf.gz,331,1
CPCT02010939T.purple.somatic.vcf.gz,55,0
CPCT02010940T.purple.somatic.vcf.gz,20,0
CPCT02010941T.purple.somatic.vcf.gz,5746,16
CPCT02010942TII.purple.somatic.vcf.gz,72,0
CPCT02010944T.purple.somatic.vcf.gz,100,0
CPCT02010944TIII.purple.somatic.vcf.gz,97,0
CPCT02010945T.purple.somatic.vcf.gz,1131,2
CPCT02010947T.purple.somatic.vcf.gz,38,0
CPCT02010953T.purple.somatic.vcf.gz,113,0
CPCT02010954T.purple.somatic.vcf.gz,1911,7
CPCT02010955T.purple.somatic.vcf.gz,229,2
CPCT02010958T.purple.somatic.vcf.gz,95,0
CPCT02010963T.purple.somatic.vcf.gz,393,0
CPCT02010963TII.purple.somatic.vcf.gz,460,0
CPCT02010965T.purple.somatic.vcf.gz,177,2
CPCT02010966T.purple.somatic.vcf.gz,44,1
CPCT02010966TII.purple.somatic.vcf.gz,37,0
CPCT02010967T.purple.somatic.vcf.gz,1980,9
CPCT02010969T.purple.somatic.vcf.gz,42,0
CPCT02010971T.purple.somatic.vcf.gz,27,0
CPCT02010972T.purple.somatic.vcf.gz,2057,6
CPCT02010973T.purple.somatic.vcf.gz,30,0
CPCT02010976T.purple.somatic.vcf.gz,803,2
CPCT02010977T.purple.somatic.vcf.gz,369,2
CPCT02010978T.purple.somatic.vcf.gz,93,0
CPCT02010979T.purple.somatic.vcf.gz,640,0
CPCT02010980T.purple.somatic.vcf.gz,594,2
CPCT02010981T.purple.somatic.vcf.gz,49,0
CPCT02010982T.purple.somatic.vcf.gz,52,2
CPCT02010984T.purple.somatic.vcf.gz,908,2
CPCT02010985T.purple.somatic.vcf.gz,825,0
CPCT02010986T.purple.somatic.vcf.gz,1052,1
CPCT02010988T.purple.somatic.vcf.gz,20,0
CPCT02010989T.purple.somatic.vcf.gz,74,0
CPCT02010990T.purple.somatic.vcf.gz,42,0
CPCT02010993T.purple.somatic.vcf.gz,69,0
CPCT02010993TII.purple.somatic.vcf.gz,87,0
CPCT02010994T.purple.somatic.vcf.gz,1273,1
CPCT02010995T.purple.somatic.vcf.gz,36,1
CPCT02010998T.purple.somatic.vcf.gz,22,0
CPCT02011000T.purple.somatic.vcf.gz,54,2
CPCT02011001T.purple.somatic.vcf.gz,20,1
CPCT02011002T.purple.somatic.vcf.gz,72,1
CPCT02011003T.purple.somatic.vcf.gz,182,0
CPCT02011004T.purple.somatic.vcf.gz,1237,4
CPCT02011005T.purple.somatic.vcf.gz,13,0
CPCT02011006T.purple.somatic.vcf.gz,2419,9
CPCT02011008T.purple.somatic.vcf.gz,304,0
CPCT02011009T.purple.somatic.vcf.gz,108,0
CPCT02011010T.purple.somatic.vcf.gz,76,0
CPCT02011011T.purple.somatic.vcf.gz,47,0
CPCT02011012T.purple.somatic.vcf.gz,20,0
CPCT02011013T.purple.somatic.vcf.gz,46,0
CPCT02011015T.purple.somatic.vcf.gz,3498,28
CPCT02011017T.purple.somatic.vcf.gz,1109,1
CPCT02011018T.purple.somatic.vcf.gz,1315,5
CPCT02011019T.purple.somatic.vcf.gz,609,1
CPCT02011020T.purple.somatic.vcf.gz,2397,15
CPCT02011021T.purple.somatic.vcf.gz,204,1
CPCT02011022T.purple.somatic.vcf.gz,56,0
CPCT02011025T.purple.somatic.vcf.gz,703,4
CPCT02011028T.purple.somatic.vcf.gz,119,0
CPCT02011029T.purple.somatic.vcf.gz,114,2
CPCT02011030T.purple.somatic.vcf.gz,13,0
CPCT02011031T.purple.somatic.vcf.gz,395,0
CPCT02011032T.purple.somatic.vcf.gz,354,0
CPCT02011035T.purple.somatic.vcf.gz,460,0
CPCT02011036T.purple.somatic.vcf.gz,396,0
CPCT02011037T.purple.somatic.vcf.gz,3602,57
CPCT02011038T.purple.somatic.vcf.gz,2,0
CPCT02011040T.purple.somatic.vcf.gz,27,0
CPCT02011040TII.purple.somatic.vcf.gz,24,0
CPCT02011042T.purple.somatic.vcf.gz,30,0
CPCT02011043T.purple.somatic.vcf.gz,17,1
CPCT02011044T.purple.somatic.vcf.gz,291,0
CPCT02011045T.purple.somatic.vcf.gz,396,1
CPCT02011045TII.purple.somatic.vcf.gz,390,1
CPCT02011046T.purple.somatic.vcf.gz,311,0
CPCT02011047T.purple.somatic.vcf.gz,110,3
CPCT02011050T.purple.somatic.vcf.gz,174,27
CPCT02011051T.purple.somatic.vcf.gz,171,2
CPCT02011052T.purple.somatic.vcf.gz,2011,10
CPCT02011053T.purple.somatic.vcf.gz,631,2
CPCT02011055T.purple.somatic.vcf.gz,1650,1
CPCT02011056T.purple.somatic.vcf.gz,104,0
CPCT02011057T.purple.somatic.vcf.gz,198,1
CPCT02011058T.purple.somatic.vcf.gz,246,0
CPCT02011059T.purple.somatic.vcf.gz,83,0
CPCT02011065T.purple.somatic.vcf.gz,142,0
CPCT02011067T.purple.somatic.vcf.gz,70,0
CPCT02011068T.purple.somatic.vcf.gz,62,1
CPCT02011069T.purple.somatic.vcf.gz,916,3
CPCT02011070T.purple.somatic.vcf.gz,211,2
CPCT02011071T.purple.somatic.vcf.gz,33,0
CPCT02011072T.purple.somatic.vcf.gz,13,0
CPCT02011073T.purple.somatic.vcf.gz,32,0
CPCT02011074T.purple.somatic.vcf.gz,399,1
CPCT02011077T.purple.somatic.vcf.gz,26,0
CPCT02011079T.purple.somatic.vcf.gz,1799,3
CPCT02011080T.purple.somatic.vcf.gz,6,0
CPCT02011082T.purple.somatic.vcf.gz,420,1
CPCT02011086T.purple.somatic.vcf.gz,625,0
CPCT02011087T.purple.somatic.vcf.gz,1314,1
CPCT02011088T.purple.somatic.vcf.gz,2204,2
CPCT02011089T.purple.somatic.vcf.gz,74,0
CPCT02011089TII.purple.somatic.vcf.gz,87,1
CPCT02011090T.purple.somatic.vcf.gz,7,0
CPCT02011093T.purple.somatic.vcf.gz,23,1
CPCT02011094T.purple.somatic.vcf.gz,13,0
CPCT02011097T.purple.somatic.vcf.gz,552,2
CPCT02011098T.purple.somatic.vcf.gz,4,0
CPCT02011102T.purple.somatic.vcf.gz,86,0
CPCT02011105T.purple.somatic.vcf.gz,568,1
CPCT02011106T.purple.somatic.vcf.gz,183,0
CPCT02011107T.purple.somatic.vcf.gz,1372,2
CPCT02011108T.purple.somatic.vcf.gz,959,5
CPCT02020305T.purple.somatic.vcf.gz,339,0
CPCT02020306T.purple.somatic.vcf.gz,710,2
CPCT02020307T.purple.somatic.vcf.gz,25,1
CPCT02020308T.purple.somatic.vcf.gz,321,58
CPCT02020309T.purple.somatic.vcf.gz,18,1
CPCT02020310T.purple.somatic.vcf.gz,43,2
CPCT02020313T.purple.somatic.vcf.gz,30,0
CPCT02020314T.purple.somatic.vcf.gz,16,0
CPCT02020315T.purple.somatic.vcf.gz,200,0
CPCT02020317T.purple.somatic.vcf.gz,14,0
CPCT02020318T.purple.somatic.vcf.gz,20,0
CPCT02020319T.purple.somatic.vcf.gz,38,0
CPCT02020320T.purple.somatic.vcf.gz,1215,14
CPCT02020321T.purple.somatic.vcf.gz,12,0
CPCT02020322T.purple.somatic.vcf.gz,26,0
CPCT02020323T.purple.somatic.vcf.gz,23,4
CPCT02020325T.purple.somatic.vcf.gz,13,0
CPCT02020326T.purple.somatic.vcf.gz,113,1
CPCT02020330T.purple.somatic.vcf.gz,137,0
CPCT02020333T.purple.somatic.vcf.gz,260,0
CPCT02020334T.purple.somatic.vcf.gz,1543,2
CPCT02020337T.purple.somatic.vcf.gz,834,4
CPCT02020340T.purple.somatic.vcf.gz,91,0
CPCT02020341T.purple.somatic.vcf.gz,14,0
CPCT02020342T.purple.somatic.vcf.gz,1313,10
CPCT02020343T.purple.somatic.vcf.gz,24,0
CPCT02020344T.purple.somatic.vcf.gz,84,0
CPCT02020345T.purple.somatic.vcf.gz,15,1
CPCT02020345TII.purple.somatic.vcf.gz,20,2
CPCT02020347T.purple.somatic.vcf.gz,8,0
CPCT02020348T.purple.somatic.vcf.gz,16,1
CPCT02020350T.purple.somatic.vcf.gz,14,0
CPCT02020351T.purple.somatic.vcf.gz,27,0
CPCT02020351TII.purple.somatic.vcf.gz,25,0
CPCT02020353T.purple.somatic.vcf.gz,1545,0
CPCT02020356T.purple.somatic.vcf.gz,101,0
CPCT02020357T.purple.somatic.vcf.gz,161,0
CPCT02020358T.purple.somatic.vcf.gz,402,0
CPCT02020362T.purple.somatic.vcf.gz,353,1
CPCT02020369T.purple.somatic.vcf.gz,153,0
CPCT02020370T.purple.somatic.vcf.gz,73,0
CPCT02020371T.purple.somatic.vcf.gz,33,0
CPCT02020373T.purple.somatic.vcf.gz,267,3
CPCT02020376T.purple.somatic.vcf.gz,21,0
CPCT02020377T.purple.somatic.vcf.gz,15,0
CPCT02020378T.purple.somatic.vcf.gz,22,0
CPCT02020380T.purple.somatic.vcf.gz,44,0
CPCT02020380TII.purple.somatic.vcf.gz,44,0
CPCT02020382T.purple.somatic.vcf.gz,184,0
CPCT02020383T.purple.somatic.vcf.gz,246,1
CPCT02020385T.purple.somatic.vcf.gz,207,1
