X1,X2,X3
CPCT02010349T.purple.somatic.vcf.gz,8,0
CPCT02010350T.purple.somatic.vcf.gz,25,0
CPCT02010351T.purple.somatic.vcf.gz,67,1
CPCT02010352T.purple.somatic.vcf.gz,4,0
CPCT02010356T.purple.somatic.vcf.gz,290,0
CPCT02010359T.purple.somatic.vcf.gz,114,1
CPCT02010359TII.purple.somatic.vcf.gz,351,2
CPCT02010361T.purple.somatic.vcf.gz,121,1
CPCT02010362T.purple.somatic.vcf.gz,12,1
CPCT02010366T.purple.somatic.vcf.gz,1,0
CPCT02010369T.purple.somatic.vcf.gz,84,0
CPCT02010370T.purple.somatic.vcf.gz,26,0
CPCT02010371T.purple.somatic.vcf.gz,801,1
CPCT02010372T.purple.somatic.vcf.gz,46,0
CPCT02010373T.purple.somatic.vcf.gz,2843,12
CPCT02010376T.purple.somatic.vcf.gz,4,0
CPCT02010377T.purple.somatic.vcf.gz,58,0
CPCT02010378T.purple.somatic.vcf.gz,2,0
CPCT02010382TII.purple.somatic.vcf.gz,6,0
CPCT02010383T.purple.somatic.vcf.gz,10,0
CPCT02010386T.purple.somatic.vcf.gz,57,0
CPCT02010389T.purple.somatic.vcf.gz,25,0
CPCT02010392T.purple.somatic.vcf.gz,12,0
CPCT02010393T.purple.somatic.vcf.gz,3395,50
CPCT02010393TII.purple.somatic.vcf.gz,3277,50
CPCT02010397T.purple.somatic.vcf.gz,95,1
CPCT02010398T.purple.somatic.vcf.gz,662,0
CPCT02010399T.purple.somatic.vcf.gz,157,0
CPCT02010401T.purple.somatic.vcf.gz,12,0
CPCT02010403T.purple.somatic.vcf.gz,6,0
CPCT02010403TII.purple.somatic.vcf.gz,5,0
CPCT02010406TII.purple.somatic.vcf.gz,17,0
CPCT02010407T.purple.somatic.vcf.gz,1927,9
CPCT02010408T.purple.somatic.vcf.gz,13,0
CPCT02010408TII.purple.somatic.vcf.gz,12,0
CPCT02010409T.purple.somatic.vcf.gz,802,1
CPCT02010414T.purple.somatic.vcf.gz,227,3
CPCT02010415T.purple.somatic.vcf.gz,63,0
CPCT02010419T.purple.somatic.vcf.gz,124,0
CPCT02010419TII.purple.somatic.vcf.gz,156,0
CPCT02010422T.purple.somatic.vcf.gz,115,0
CPCT02010424T.purple.somatic.vcf.gz,84,0
CPCT02010427T.purple.somatic.vcf.gz,48,2
CPCT02010429T.purple.somatic.vcf.gz,21,1
CPCT02010433T.purple.somatic.vcf.gz,7,0
CPCT02010434T.purple.somatic.vcf.gz,42,0
CPCT02010436T.purple.somatic.vcf.gz,1652,2
CPCT02010438T.purple.somatic.vcf.gz,10,0
CPCT02010439T.purple.somatic.vcf.gz,957,0
CPCT02010440T.purple.somatic.vcf.gz,573,0
CPCT02010441T.purple.somatic.vcf.gz,468,23
CPCT02010447T.purple.somatic.vcf.gz,79,0
CPCT02010450T.purple.somatic.vcf.gz,1453,8
CPCT02010450TII.purple.somatic.vcf.gz,1548,8
CPCT02010451T.purple.somatic.vcf.gz,250,0
CPCT02010452T.purple.somatic.vcf.gz,110,0
CPCT02010453T.purple.somatic.vcf.gz,1448,4
CPCT02010454T.purple.somatic.vcf.gz,15,0
CPCT02010455T.purple.somatic.vcf.gz,777,1
CPCT02010458T.purple.somatic.vcf.gz,50,0
CPCT02010461T.purple.somatic.vcf.gz,115,0
CPCT02010466T.purple.somatic.vcf.gz,20,1
CPCT02010468T.purple.somatic.vcf.gz,134,0
CPCT02010469T.purple.somatic.vcf.gz,1284,7
CPCT02010471T.purple.somatic.vcf.gz,187,0
CPCT02010473T.purple.somatic.vcf.gz,94,0
CPCT02010474T.purple.somatic.vcf.gz,281,0
CPCT02010477T.purple.somatic.vcf.gz,45,0
CPCT02010478T.purple.somatic.vcf.gz,102,0
CPCT02010478TII.purple.somatic.vcf.gz,94,0
CPCT02010481T.purple.somatic.vcf.gz,40,0
CPCT02010483T.purple.somatic.vcf.gz,100,1
CPCT02010484T.purple.somatic.vcf.gz,242,0
CPCT02010485T.purple.somatic.vcf.gz,92,1
